date,open,close,low,high,volume,money
1996/5/6,648.23,671.28,648.23,672.85,5766488000.0,2988111600.0
1996/5/7,677.44,661.16,660.02,682.62,4933715000.0,2700472800.0
1996/5/8,659.7,661.27,653.12,666.86,3119170000.0,1796040000.0
1996/5/9,659.4,656.9,654.82,669.8,2672481000.0,1703690600.0
1996/5/10,656.33,661.47,648.0,661.47,2225074000.0,1300218800.0
1996/5/13,665.49,666.1,663.68,672.76,3831605000.0,1861909100.0
1996/5/14,668.58,665.41,663.34,672.44,2811699000.0,1553447700.0
1996/5/15,665.75,682.05,664.99,682.05,2782651000.0,1592160200.0
1996/5/16,687.51,683.07,682.27,698.37,5889047000.0,3373162300.0
1996/5/17,685.21,711.93,682.41,712.05,4320810000.0,2741274100.0
1996/5/20,719.19,703.08,699.37,725.16,6628097000.0,4256524600.0
1996/5/21,701.96,661.85,660.93,707.06,4715549000.0,2705860900.0
1996/5/22,658.15,668.62,657.43,672.61,3663837000.0,1955460700.0
1996/5/23,668.7,642.67,641.57,670.25,3292401000.0,1589859400.0
1996/5/24,638.76,639.8,630.42,644.92,2519110000.0,1348868800.0
1996/5/27,639.51,637.96,635.02,642.11,1207223000.0,648720800.0
1996/5/28,638.57,646.91,638.18,647.06,1934188000.0,1088101800.0
1996/5/29,648.55,650.56,646.84,652.28,1417899000.0,832489100.0
1996/5/30,650.61,636.36,634.02,650.9,1681183000.0,990229000.0
1996/5/31,633.92,643.65,632.22,653.22,2416099000.0,1744609000.0
1996/6/3,643.96,641.09,636.46,652.52,3233044000.0,2203152600.0
1996/6/4,642.06,651.51,642.0,656.59,3183675000.0,2173408200.0
1996/6/5,654.78,696.97,654.04,696.97,5991263000.0,4204963500.0
1996/6/6,703.03,702.64,691.49,715.58,7776633000.0,5499041300.0
1996/6/7,720.44,727.34,716.54,739.44,10691870000.0,7488490500.0
1996/6/10,740.11,764.39,736.99,764.63,10640451000.0,7040144100.0
1996/6/11,765.33,752.26,742.4,765.35,7705698000.0,5243102800.0
1996/6/12,761.39,755.77,751.34,774.01,8058351000.0,6013692500.0
1996/6/13,758.22,768.68,745.53,769.3,6929639000.0,4789505200.0
1996/6/14,781.98,777.28,772.39,790.32,10172193000.0,6797088400.0
1996/6/17,779.71,752.0,750.04,780.35,6021042000.0,3834445100.0
1996/6/18,749.3,793.56,748.56,793.6,5398729000.0,4415298000.0
1996/6/19,801.1,796.91,787.37,814.2,7345856000.0,6123600100.0
1996/6/20,788.92,793.59,783.47,802.61,3975064000.0,3413843600.0
1996/6/21,797.9,796.11,793.42,806.1,3773213000.0,3245193000.0
1996/6/24,797.87,793.34,789.09,799.03,3391442000.0,2662725400.0
1996/6/25,764.66,780.65,762.13,788.69,3668148000.0,2914024700.0
1996/6/26,782.15,801.46,782.15,802.04,3894474000.0,3212049900.0
1996/6/27,811.51,806.46,801.74,819.84,5731744000.0,4982846500.0
1996/6/28,809.6,804.25,798.04,811.88,4364062000.0,3788350600.0
1996/7/1,800.91,761.12,755.32,801.05,6027652000.0,4818157200.0
1996/7/2,758.47,759.71,753.64,766.07,3613407000.0,3182836700.0
1996/7/3,767.11,786.13,766.43,786.16,5436389000.0,5252680800.0
1996/7/4,790.28,785.43,774.07,794.85,6181885000.0,5794688000.0
1996/7/5,788.1,785.38,783.86,797.15,7135117000.0,5390738200.0
1996/7/8,794.13,807.34,790.09,807.89,7274347000.0,6439040800.0
1996/7/9,815.02,817.61,807.43,822.51,7673064000.0,6442554800.0
1996/7/10,821.1,820.05,809.35,825.39,6574262000.0,5225605400.0
1996/7/11,822.18,792.07,790.57,822.39,5395230000.0,4369669600.0
1996/7/12,784.26,796.41,778.87,796.41,3801905000.0,3300324100.0
1996/7/15,794.88,789.16,780.15,796.25,3665840000.0,3070761800.0
1996/7/16,796.76,823.08,793.69,823.77,5681102000.0,4628994300.0
1996/7/17,830.65,808.99,808.5,841.41,7192647000.0,5047189300.0
1996/7/18,808.09,818.04,808.09,819.56,3814635000.0,2761649200.0
1996/7/19,824.01,856.93,820.66,857.08,8602257000.0,6130803000.0
1996/7/22,871.48,884.94,870.22,887.07,10828270000.0,7864698300.0
1996/7/23,888.92,871.49,864.51,889.41,6847447000.0,5133593100.0
1996/7/24,874.97,887.6,874.97,894.73,7767470000.0,5857347400.0
1996/7/25,887.25,868.16,867.09,894.21,8224689000.0,5751411400.0
1996/7/26,868.28,845.12,840.21,872.27,6530364000.0,5100398700.0
1996/7/29,846.19,855.42,837.2,855.5,4168558000.0,3159293800.0
1996/7/30,861.72,836.93,834.87,865.5,4093727000.0,3169679700.0
1996/7/31,836.67,822.48,820.85,841.72,3568602000.0,2647605600.0
